Logradouro,Longitude,Latitude
"VER DANTE JORDAO STOPA, MOGI DAS CRUZES",,
"MORUMBI, SAO PAULO",-46.7178446,-23.5964988
"BARAO DE ITAPETININGA, SAO PAULO",-48.038553,-23.5734947
"SETE DE SETEMBRO, CERQUEIRA CESAR",,
"CONEGO ANDRE PIERONI, LARANJAL PAULISTA",-47.8958647,-23.0383095
"JUVENAL ARANTES, JUNDIAI",-46.9892746,-23.1765859
"RUZZI, MAUA",-46.4740034,-23.7050186
"AMARAL GURGEL, SANTO ANDRE",-46.5499015,-23.6614363
"ARAGUAIA 2044, BARUERI",-46.8277182,-23.5032557
"PARAGUASSU, SANTOS",-39.4242797,-12.5362845
"CORREIA VASQUES, SAO PAULO",-46.7159591,-23.7572412
"DOS AUTONOMISTAS, OSASCO",-46.77125250952865,-23.53577975
"AVENIDA ORIGENES LESSA, SITIO PROGRESSO, LENCOIS PAULISTA",,
"AMELIA DUARTE, SAO PAULO",-47.1880421070428,-22.73812225
"CASA VERDE, SAO PAULO",-46.6561379,-23.5059269
"EST.SP115/280 ACESSO JOSE SARTORELLI, BOITUVA",,
